id;start_date;end_date;language
1;2019-11-08T09:01:15;2019-11-08T02:09:32;FRENCH
2;2019-11-08T10:31:20;2019-11-07T19:37:30;FRENCH
3;2019-11-08T06:03:25;2019-11-07T21:27:25;SPANISH
4;2019-11-07T19:15:16;2019-11-08T02:42:18;FRENCH
5;2019-11-08T04:13:55;2019-11-08T08:58:04;SPANISH
6;2019-11-08T10:30:56;2019-11-08T11:47:52;SPANISH
7;2019-11-07T19:53:15;2019-11-08T08:34:02;FRENCH
8;2019-11-07T17:24:34;2019-11-08T01:24:43;SPANISH
9;2019-11-08T03:12:40;2019-11-08T11:37:18;FRENCH
10;2019-11-08T06:30:50;2019-11-08T03:47:04;FRENCH
